             time [UTC]  lat. [°N]  lon. [°E]  dep. [km]  mb  ms    ml  event type certainty              Flinn-Engdahl region
2015-12-29 10:40:32.735    38.6565  -118.7847    11.3707 NaN NaN  0.31        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 10:54:47.349    22.1362   167.0234    30.0000 NaN NaN   NaN        None      None               NORTH PACIFIC OCEAN
2015-12-29 11:09:50.990    38.1526  -119.1609     0.0000 NaN NaN   NaN        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 11:11:28.178    35.7201  -116.4922     0.0000 NaN NaN   NaN  earthquake      None                CENTRAL CALIFORNIA
2015-12-29 11:12:05.912    37.9664  -116.5324    15.0000 NaN NaN   NaN        None      None                   SOUTHERN NEVADA
2015-12-29 11:14:43.931    37.0153  -115.9811     4.0828 NaN NaN -0.22        None      None                   SOUTHERN NEVADA
2015-12-29 11:20:06.976    37.2437  -117.8036    10.1701 NaN NaN   NaN        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 11:29:29.828    38.4363  -117.4405    15.0000 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 11:42:11.365    38.9003  -120.2092     0.0000 NaN NaN   NaN        None      None               NORTHERN CALIFORNIA
2015-12-29 11:45:18.938    38.2267  -116.5044    15.0000 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 11:51:44.304    38.5860  -118.3265     9.5405 NaN NaN  0.35        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 11:59:33.202    38.5510  -119.4136     0.0000 NaN NaN  2.54        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 12:39:03.883    38.1125  -119.1603     0.0000 NaN NaN   NaN        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 12:46:13.870   -46.4230    75.2284    30.0000 NaN NaN   NaN        None      None          KERGUELEN ISLANDS REGION
2015-12-29 12:57:59.599    37.4537  -118.7752    12.0000 NaN NaN  1.06        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 13:14:36.109    28.7051  -170.0076    30.0000 NaN NaN   NaN        None      None           HAWAIIAN ISLANDS REGION
2015-12-29 13:23:33.913    41.8743  -119.6072     8.9445 NaN NaN  3.50        None      None                            NEVADA
2015-12-29 13:26:13.892    37.7465  -116.5815     9.0000 NaN NaN  1.96        None      None                   SOUTHERN NEVADA
2015-12-29 13:30:28.822    38.9184  -118.5635     0.0000 NaN NaN  2.02        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 13:33:00.401    41.8763  -119.6054     7.2358 NaN NaN  3.39        None      None                            NEVADA
2015-12-29 14:03:42.273    41.8772  -119.6096    10.0205 NaN NaN  3.45        None      None                            NEVADA
2015-12-29 14:05:53.113    41.8889  -119.6228     7.8083 NaN NaN  1.82        None      None                            NEVADA
2015-12-29 14:09:46.266    39.4195  -119.7891     8.8114 NaN NaN  0.94        None      None                            NEVADA
2015-12-29 14:15:15.458    39.0643  -119.0101     5.7798 NaN NaN  0.20        None      None                            NEVADA
2015-12-29 14:27:09.632    39.0661  -119.0130     6.9559 NaN NaN  1.10        None      None                            NEVADA
2015-12-29 14:30:15.023    41.8950  -119.6198     6.6268 NaN NaN  1.17        None      None                            NEVADA
2015-12-29 14:40:14.869    41.8738  -119.6135     7.0207 NaN NaN  1.91        None      None                            NEVADA
2015-12-29 14:53:46.584    41.8778  -119.6193     7.0512 NaN NaN  0.90        None      None                            NEVADA
2015-12-29 14:57:26.498   -20.9670   -66.4752    30.0000 NaN NaN   NaN        None      None                  SOUTHERN BOLIVIA
2015-12-29 15:33:59.920    41.0576  -116.6897    13.0310 NaN NaN  1.91        None      None                            NEVADA
2015-12-29 15:57:04.755   -26.5599    40.8610    30.0000 NaN NaN   NaN        None      None                SOUTH INDIAN OCEAN
2015-12-29 15:57:22.660    36.9664  -117.9853    12.5999 NaN NaN  1.86        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 16:18:59.225     1.4719   163.0861    30.0000 NaN NaN   NaN        None      None   E. CAROLINE ISLANDS, MICRONESIA
2015-12-29 16:20:47.958    38.3657  -116.4118    15.0000 NaN NaN  2.54        None      None                            NEVADA
2015-12-29 16:24:51.170    38.4563  -117.4403    15.0000 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 16:33:36.668    36.8333  -118.5285     0.0000 NaN NaN   NaN        None      None                CENTRAL CALIFORNIA
2015-12-29 16:47:02.410    41.8757  -119.5899     8.1950 NaN NaN  1.25        None      None                            NEVADA
2015-12-29 17:25:25.119    41.8716  -119.6020     4.7185 NaN NaN  1.41        None      None                            NEVADA
2015-12-29 17:31:22.583    37.7156  -117.5770     0.0000 NaN NaN  1.06        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 18:05:05.882    37.6379  -118.8577     5.4464 NaN NaN  0.67        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 18:19:35.291    39.7726  -114.0712     0.0000 NaN NaN  3.26        None      None                            NEVADA
2015-12-29 19:51:55.181    36.1523  -117.9600     0.0000 NaN NaN  2.94  earthquake      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 19:54:49.433    36.1123  -118.0035     3.0000 NaN NaN  1.58  earthquake      None                CENTRAL CALIFORNIA
2015-12-29 19:56:27.087    41.8723  -119.6107     9.8852 NaN NaN  1.58        None      None                            NEVADA
2015-12-29 20:09:01.200    36.7017  -116.3170     9.7381 NaN NaN -0.53        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 20:12:40.226    39.3313  -116.6382     0.0000 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 20:14:56.203    38.6744  -117.1012     0.0000 NaN NaN  1.68        None      None                            NEVADA
2015-12-29 20:30:09.351    37.2109  -119.0813     0.0000 NaN NaN   NaN  earthquake      None                CENTRAL CALIFORNIA
2015-12-29 20:35:58.765    42.3335  -116.2391     0.0000 NaN NaN   NaN        None      None                     WESTERN IDAHO
2015-12-29 20:38:23.586    41.8771  -119.6096     5.6019 NaN NaN  1.04        None      None                            NEVADA
2015-12-29 20:52:28.535    41.8861  -119.6013     5.0150 NaN NaN  1.39        None      None                            NEVADA
2015-12-29 20:54:35.422    37.1455  -117.2273    12.5692 NaN NaN  0.32        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 21:15:20.082    36.9037  -117.5597     7.1279 NaN NaN  0.74        None      None   CALIFORNIA-NEVADA BORDER REGION
2015-12-29 21:19:19.050    45.0709  -139.0290    30.0000 NaN NaN   NaN  earthquake      None          WEST OF VANCOUVER ISLAND
2015-12-29 21:25:21.782    41.8774  -119.6057     5.9378 NaN NaN  1.16        None      None                            NEVADA
2015-12-29 22:02:36.067    41.8604  -121.4338    12.0000 NaN NaN   NaN  earthquake      None               NORTHERN CALIFORNIA
2015-12-29 22:11:05.952    40.5942  -116.6111    15.0000 NaN NaN   NaN        None      None                            NEVADA
2015-12-29 22:18:19.758    41.8821  -119.6201     8.8993 NaN NaN  1.28        None      None                            NEVADA
2015-12-29 22:47:19.487    41.8511  -119.6287     6.3372 NaN NaN  1.39        None      None                            NEVADA
2015-12-29 22:57:51.828    36.0255  -114.7562     0.0000 NaN NaN  1.90        None      None                   SOUTHERN NEVADA
2015-12-29 23:18:21.643    38.6047  -118.3114    10.6997 NaN NaN -0.07        None      None   CALIFORNIA-NEVADA BORDER REGION
